ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,[안드로이드 수리점 '레파이아'],재개업 4일차,,,,엔지니어(주인공)
2,엔지니어,흐어어어...,,,,조세핀(조수)
3,엔지니어,오늘은 그냥 손님이 안 왔으면 좋겠다.,,,조세핀 중앙에 등장,레네(당근패드 든 여자)
4,조세핀,또 그 소리인가요.,2,,,브루스(소방관)
5,조세핀,자신의 가게에 책임감을 가져주세요.,2,,,
6,엔지니어,그냥 자리에 앉아서 '식물의 숲'이나 하는 삶을 살았으면 좋겠다...,,,,
7,조세핀,그럼 제 충전비랑 레파이아 임대료는 그 게임 속 나무에서 자라나요?,2,,레네0평소1정면2웃음3놀람,
8,엔지니어,맞아. 돈이 열려.,,,,
9,조세핀,???,3,,,
10,엔지니어,...,,,,
11,조세핀,게임 돈이죠?,2,,,
12,엔지니어,응.,,,,
13,조세핀,진짜 돈을 벌려면 일단 그 게임기부터 끄세요.,2,,,
14,???,역시 쟤 옆에는 조세핀이 있어야 사람 구실을 한다니까.,,,,
15,조세핀,누구...,3,,조세핀 퇴장,
16,레네,누구긴 누구야^ 네 엄마지.,2,,레네 중앙에 등장,
17,엔지니어,어서와^ 레네.,,,,
18,엔지니어,하긴^ 조세핀을 만든 사람이 너니까 생물학적으론 엄마가 맞긴 하지.,,,,
19,조세핀,그 전에 전 생물이 아닙니다. 사장님.,2,,조세핀 왼쪽에 등장,
20,엔지니어,레네^ 그럼 조세핀 아빠는 누구냐^ 네 태블릿 PC?,,,,
21,레네,비버 이빨로 칠판 긁는소리 하고 있네.,0,,,
22,엔지니어,"그거 ""로보브레인과 스피커헤드""에서 나오는 대사지?",,,,
23,레네,어쭈^ 잘 알고 있네. 15권 142쪽^ 스피커헤드의 대사지.,1,,,
24,레네,근데 웬 일이냐^ 네가 로보브레인 얘기를 다 꺼내고?,0,,,
25,레네,대학땐 뭐 이런 만화가 있냐고 소리치면서 단행본을 집어던졌던 사람이.,1,,,
26,엔지니어,어제 그 만화 작가가 여기 왔다 갔거든.,,,,
27,레네,뻥치시네.,1,,,
28,엔지니어,진짠데.,,,,
29,레네,시안 M.이 레파이아에 왔었다고? 차라리 조세핀이 케인 헬스클럽에 다닌다고 해라.,1,,,
30,조세핀,맞아요.,0,,,
31,레네,진짜? 너 헬스클럽 다녀? ,1,,,
32,조세핀,어제 와서 사인까지 해주고 갔어요.,1,,,
33,레네,말도 안돼!!,3,,,
34,레네,그 사인 어딨어?!,3,,,
35,조세핀,여기요. 레네 이름으로 받아놨어요.,0,,,
36,레네,조세핀!! 내가 딸은 잘 만들어놨구나!!,2,,,
37,엔지니어,그 만화가 그렇게 좋아? 기숙사 살때도 그 만화 전용 책장을 따로 뒀잖아.,,,,
