ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,[안드로이드 수리점 '레파이아'],재개업 5일차,,,,엔지니어(주인공)
2,엔지니어,쉬고 싶어졌어.,,,,조세핀(조수)
3,조세핀,또요?,0,,조세핀 중앙에서 등장,존스턴(도넛 경찰)
4,엔지니어,나 그래도 최근에 열심히 일했다고.,,,,조나스(카이바)
5,조세핀,지금 재개업한지 5일밖에 안 된 거 아시죠?,2,,,마르코(콧수염 경찰)
6,엔지니어,그동안 다양한 일이 많이 생긴 거 알지?,,,,
7,엔지니어,유명 만화 작가가 찾아오질 않나^ 갑자기 경찰 소속 카이바를 정비하질 않나.,,,,
8,조세핀,...무슨 소리 들리지 않아요?,1,,팬 돌아가는 소리(약) 반복재생,
9,엔지니어,그러게. 뭔가 선풍기가 붕붕 돌아가는 소리같은데.,,,,
10,조세핀,어째 저 손님들이 다가오는 것에 맞춰서 커지는 거 같은데요.,1,,,
11,엔지니어,어디서 많이 본 실루엣인데?,,,,
12,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,0,,조세핀 퇴장^ 팬 돌아가는 소리(약) 정지,
13,???,반갑습니다!,1,,조나스 중앙에 등장^ 팬 돌아가는 소리 (강) 반복재생,
14,엔지니어,(카이바잖아? 팬 돌아가는 소리가 뭐 이렇게 커?),,,,
15,???,잠시 실례하겠습니다.,0,,존스턴 왼쪽에 등장,
16,존스턴,블루라이트 시티 경찰서 소속 존스턴 경장입니다.,0,,,
17,마르코,안녕하세요.  또 뵙는군요.,0,,마르코 오른쪽에 등장,
18,엔지니어,마르코 씨^ 안녕하세요. 무슨 일로 오셨나요?,,,,
19,존스턴,오호^ 경찰 두명과 카이바가 왔는데도 크게 동요하지 않으시네요?,0,,,
20,엔지니어,저는 딱히 잘못한 게 없으니까요.,,,마르코0평소1왼쪽2어이털림,
21,엔지니어,그리고 마르코 씨가 굳이 '또 뵙는다'고 말씀하신 것에서 겁먹지 않아도 될 상황이라는 걸 느꼈죠.,,,카이바0평소1웃음2울음3빡침4전원꺼짐,
22,존스턴,보통은 이렇게 경찰이 찾아오면 다들 겁먹고 대답을 제대로 못하거든요.,0,,존스턴0평소1왼쪽,
23,조세핀,사장님! 저는 귀 아프니까 시장이나 갔다올게요!! 돌아올 때까지 체포되진 말아요!,,,,
24,엔지니어,그럴 일 없으니까 올 때 아이스크림 사와!,,,,
25,존스턴,조수분이 장난기가 넘치시는군요.,1,,,
26,엔지니어,가끔 장난이 너무 짖궂을 때도 있어서 곤란하지만요.,,,,
27,엔지니어,오늘은 어떤 일로 오셨나요? 불워크가 두 번째 자아를 깨우쳤나요?,,,,
28,마르코,불워크는 아니고^ 존스턴의 카이바때문에 왔습니다.,0,,,
29,존스턴,제가 담당하는 카이바^ 조나스입니다.,0,,,
30,조나스,블루라이트 시티 경찰서 소속 카이바^ 조나스입니다. 반갑습니다!,1,,,
31,마르코,존스턴은 제 동기로^ 행정 쪽을 담당하고 있습니다.,1,,,
32,존스턴,이번에 마르코 녀석이 불워크를 어떻게 구워삶았는지 궁금해서 물었더니 여기를 알려주더군요.,0,,,
33,엔지니어,아니 뭐 알리고 그런 건 다 좋은데^ 법적 분쟁에 휘말릴 수 있는 상황은 없게 해주세요.,,,,
34,마르코,걱정마세요. 어차피 여기 중에서 상부의 카이바 정비를 믿는 사람은 없으니까요.,2,,,
35,존스턴,경찰을 단골 손님으로 받는 건 장기적인 이익이 될 수 있는 일이라고요.,1,,,
36,존스턴,서류 상으로 아무런 문제가 없게 해드리죠.,0,,,
37,엔지니어,아무튼^ 조나스에게 무슨 문제가 있는건가요?,,,,
38,존스턴,성능 면에서 업그레이드가 필요합니다.,0,,,
39,존스턴,지금 조나스는 우리 팀 막내보다도 행정 업무 처리 속도가 느려요.,1,,,
40,조나스,죄송합니다 팀장님!,2,,,
41,엔지니어,AI가 인간보다 처리 속도가 느리다면 확실히 문제가 있네요.,,,,
42,엔지니어,혹시 조나스가 마지막으로 정비를 받은 게 언제죠?,,,,
43,존스턴,약 1년 전이네요.,1,,,
44,엔지니어,...보통 한 달에 한번은 정비를 받아야 하는 게 원칙 아닌가요?,,,,
45,존스턴,그런 원칙은 관료주의에게 안 먹힌답니다.,0,,,
46,엔지니어,잠깐^ 그럼 아까 전부터 들리는 이 소리는 조나스한테서 나는 건가요?,,,,
47,존스턴,맞습니다. 팬 돌아가는 소리와 함께 발열도 엄청나죠.,0,,수리 힌트 1 - 내부청소,
48,존스턴,가면 갈수록 심해지다가 버틸 수가 없어서 찾아왔습니다.,0,,,
49,엔지니어,아무래도 문제가 쉽겠네요.,,,,
50,엔지니어,그나저나 빨리 정비소로 자리를 옮기죠^ 저 팬 소리 때문에 귀가 아플 지경이에요.,,,수리 내용은 '내부 청소',
