ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,정비 끝^ 어깨 부품을 완전 새걸로 교체했어.,,1,5,,엔지니어(주인공)
2,브루스,고마워요^ 이제 반장님의 걱정거리가 하나 줄어들겠네요.,,,,,조세핀(조수)
3,조세핀,반장님이 고민하시는 게 많으신가 봐요?,0,,,,레네(당근패드 든 여자)
4,엔지니어,브루스네 반장님은 내가 어릴 적에 내 이웃에 살던 분이셨는데^ 항상 근심걱정을 하고 다니셨지.,0,,,,브루스(소방관)
5,엔지니어,그 성격이 안전을 꼼꼼하게 점검하는 쪽으로 잘 이어져서^ 지금은 소방관으로 천직을 찾으셨고.,,,,,
6,조세핀,좋은 길로 들어가셨군요.,,,,,
7,브루스,부하 소방관들 사이에선 너무 빡빡하다는 평이 있긴 하지만^ 주변 평판과 실적도 좋습니다.,0,,,,
8,브루스,소방관으로써는 더할나위 없는 분이죠.,1,,,,
9,브루스,저는 이만 근무하러 돌아가보겠습니다.,1,,,,
10,브루스,가는 길에 아이스크림이나 몇개 사가야겠어요.,0,3,5,브루스 퇴장,
11,엔지니어,또 찾아줘.,0,,,,
12,조세핀,안녕히 가세요.,,,,조세핀 퇴장,
13,조세핀,반장님 팀과 브루스가 있어서 오늘도 안심하고 잘 수 있겠네요.,0,,,조세핀 중앙에서 등장,
14,엔지니어,말 그대로 슈퍼히어로들이지.,0,,,,
15,엔지니어,그럼 슈퍼히어로들에게 이 도시의 안전을 맡기고^ 소시민들은 쉼터로 돌아가볼까.,,,,,
16,[시스템 메시지],DAY 4 종료,,4,0,,
