ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,엔지니어,지금은 어떠신가요?,,,,
2,시안,세상에! 이제야 모든 것이 제대로 보이네요!,1,,,
3,엔지니어,제 조수한테도 그저께 똑같은 일이 일어나서 쉽게 고칠 수 있었어요.,,,,
4,엔지니어,분석 결과^ 그 플러그인의 코드가 RGB값을 받아서 자체적으로 변환하는 게 아니라^ 눈 부품 쪽의 RGB 값을 뒤집어버리는 방식이더라고요.,,,,
5,엔지니어,그래서 플러그인을 삭제해도 RGB 값이 남아있던 거죠.,,,,
6,시안,정말 다행이에요^ 지금 그리는 만화가 채색 작업만 남아서 걱정이었거든요.,2,,,
7,시안,다음부터는 제대로 검증받은 플러그인만 받아야겠어요.,2,,,
8,엔지니어,마감 시간에 늦지 않을 수 있겠네요.,,,,
9,조세핀,시안님^ 부탁 하나만 드려도 될까요?,0,,,
10,시안,네?,1,,,
11,조세핀,저희 친구^ 레네를 위해서 사인 한 장 해주실 수 있나요?,0,,,
12,시안,당연하죠! 혹시 종이 있으신가요?,2,,,
13,시안,...,0,,,
14,시안,자^ 여기 있어요.,1,,,
15,엔지니어,(사랑해주셔서 감사합니다! '시안 M.' - 열렬한 독자 레네에게),,,,
16,조세핀,감사합니다. 로보브레인과 스피커헤드도 그려주셨네요. 레네가 정말 좋아하겠어요.,0,,,
17,시안,팬들을 위해서라면 이정도는 당연하죠.,2,,,
18,시안,그럼 저는 채색 작업을 하러 가야되서^ 이만 가볼게요.,2,,,
19,시안,오늘 감사했습니다!,1,,시안 퇴장,
20,엔지니어,다음 화 기대할게요.,,,조세핀 퇴장,
21,조세핀,사장님이 그 만화를 좋아하는 줄은 몰랐는데요.,0,,조세핀 중앙에서 등장,
22,엔지니어,내 취향은 아니지만^ 그 만화 작가 앞에서 '제 취향 아닌데요'라고 할 순 없잖아.,,,,
23,엔지니어,그리고 사인 잘 받았어^ 레네가 껌뻑 죽겠네.,,,,
24,조세핀,지금까지의 방문 기록을 참고했을 때^ 내일쯤 또 올 것으로 예상이 되서요.,1,,,
25,엔지니어,그러고보니 슬슬 올 때가 되긴 했지. 이번엔 또 무슨 핑계로 대학원에서 도망나오려나.,,,,
26,조세핀,밖에 손님이 왔군요. 두 명인 거 같은데요.,1,,,
27,엔지니어,두 명이라면...,,,,
28,조세핀,어서오세요^ 리페이아에 오신 걸...,0,,조세핀 퇴장,
29,???,블루라이트 시티 경찰서에서 왔다! 무기 버리고 투항해!,3,,카이바 중앙에서 등장,
30,엔지니어,우왁?!,,,,
31,마르코,불워크! 여긴 시민 구역이다!,0,,마르코 왼쪽에서 등장,
32,불워크,...,3,,,
33,불워크,적대적 행위 감지되지 않음. 반갑다. 시민.,0,,카이바0평소1웃음2울음3빡침4전원꺼짐,
34,마르코,괜찮으세요? 방금 그 상황은 죄송합니다.,2,,,
35,엔지니어,마르코 씨?,,,,
36,엔지니어,그럼 이 카이바가...,,,,
37,마르코,예^ 어제 말씀드렸던 녀석입니다.,2,,,
38,불워크,블루라이트 시티 경찰서 소속 카이바^ 불워크다.,0,,,
39,조세핀,이름값하는 카이바네요.,1,,조세핀 오른쪽에서 등장,
40,엔지니어,정확히 증상이 어떤가요?,,,,
41,마르코,적대적 행위^ 단어등에 엄청나게 예민하게 반응하고^ 경계모드가 아니라 바로 전투모드로 들어갑니다.,1,,,
42,엔지니어,캔들라이트 지역에서 대체 뭘 보고 학습했길래...,,,,
43,불워크,캔들라이트...!,3,,,
44,불워크,거길 왜 언급하는 거지?! 갱단 소속인가?!,3,,,
45,불워크,전부 형무소로 보내버려주마!!,3,,,
46,엔지니어,으악!,,,,
47,마르코,불워크! 시민들을 위협하지 마라!,0,,,
48,불워크,...,3,,,
49,불워크,명령 확인. 전투 모드를 종료한다.,1,,,
50,마르코,이렇습니다.,2,,,
51,엔지니어,적어도 이 친구 앞에선 농담도 하면 안되겠네요.,,,,
52,엔지니어,어떻게 해주셨으면 하나요?,,,,
53,마르코,불워크의 데이터를 보존하면서 초기화를 시키고 싶습니다.,0,,,
54,엔지니어,엄청 간단하게 가능 할 거 같네요.,,,,
55,마르코,정말입니까?,0,,,
56,엔지니어,그것도 단 하나만 하면 될 거 같아요.,,,수리 힌트^ 고쳐야 할 점은 딱 하나.,
57,엔지니어,정비실로 갑시다.,,,,
58,불워크,정비실...? 그곳에 뭘 숨겨놓은 것이냐?!,3,,,
59,엔지니어,마르코 씨^ 쟤 작동 정지시켜주세요...,,,수리 항목은 '파츠 추가' (저장장치),
