ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,마르코,어떻게 되었나요?,,1,4,Day3_A에서 수리를 실패했을 때 나오는 대화문,
2,엔지니어,이제 가동을 한번 시켜봐야죠.,0,,,,
3,불워크,...,,,,,
4,불워크,...!,4,,,,
5,불워크,이 !@#$%들!! 지금 경찰을 잡아놓고 무사할 것이라 생각하는 것이냐!!!,1,,,,
6,마르코,불워크! 작동을 멈춰라!,3,,,,
7,불워크,...,0,,,,
8,불워크,명령 확인. 시스템을 절전 모드로 바꿉니다. 작동을 다시 시키려면 시작 코드를 불러주세요.,3,,,,
9,엔지니어,휴... 역시 카이바네요. 간단하게 끝날 줄 알았는데^ 쉽게 되진 않겠네요.,4,,,,
10,마르코,오늘 안에 끝날 수 있을까요?,,,,,
11,엔지니어,아까 전에 보안은 풀어놓았으니^ 기존에 있던 자료를 뒤져보면서 작업해야겠어요.,2,,,,
12,엔지니어,불워크를 여기 맡겨주실 수 있나요? 근무가 끝나고 다시 한번 찾아오시면 그때 쯤에는 되어있을 겁니다.,,,,,
13,마르코,예상했던 것보다 시간이 조금 더 걸리겠군요. 알겠습니다. 부탁드립니다.,,3,4,불워크^마르코 퇴장,
14,엔지니어,불편을 드려 죄송합니다. 이따 다시 찾아와주세요.,0,3,9,조세핀 퇴장,
15,조세핀,오늘따라 간단한 것도 못하시는데요^ 컨디션 난조인가요?,,,,조세핀 중앙에서 등장,
16,엔지니어,모르겠다... 너무 많이 쉬어서 그런가봐.,3,,,,
17,조세핀,지금까지 작성해온 작업 일지와 레포트를 보면서 기초부터 다시 공부하시죠.,,,,,
18,엔지니어,오늘은 일찍 영업을 종료하고 이 카이바를 수리하는 것에 집중하자.,3,,,,
19,엔지니어,좀 도와줄래^ 조세핀?,,,,,
20,조세핀,알겠습니다. 카이바를 먼저 다뤄보도록 하죠...,,,,,
21,[시스템 메시지],DAY 3 종료,0,,,,
