ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,정비가 끝났습니다. 좀 어떠신가요?,,1,7,Day_6에서 수리를 실패했을 경우,엔지니어(주인공)
2,실베스터,딱히 달라진 게 없습니다! 이렇게 된다면 그 회원님을 집중케어하지 못합니다!!,,,,,조세핀(조수)
3,실베스터,하지만 지금은 가서 트레이닝을 지속해야 합니다! 루틴을 잘 지켜야 훌륭한 근육이 생기는 것입니다!,1,,,,실베스터(스파링 로봇)
4,엔지니어,가능하시다면 오늘 저녁에 한번 더 들러주세요. 업그레이드 방법을 찾아보겠습니다.,0,,,,레네(당근패드 들고 있는 여캐)
5,실베스터,알겠습니다! 빠르게 가보겠습니다!,,3,7,실베스터 퇴장,시안(만화가 로봇)
6,엔지니어,안녕히 가세요.,0,,,조세핀 퇴장,
7,조세핀,...솔직히 정비하기 싫어서 그냥 보낸거죠?,,,,조세핀 중앙에서 등장,
8,엔지니어,그럴리가...,2,,,,
9,조세핀,...,,,,,실베스터0평소1왼쪽2반짝3놀람4웃음
10,엔지니어,너무 시끄러웠어...,2,,,,레네0평소1정면2웃음3놀람
11,조세핀,어차피 이따 저녁에 또 찾아오는 것보다는 방금 완벽히 업그레이드하는 게 낫지 않았을까요.,,,,,시안0평소1정면2웃음
12,조세핀,저기 또 손님이 오는 것 같네요.,1,,,,
13,조세핀,어서 오세요^ 레파이아에 오신 걸 환영합니다.,1,,,조세핀 퇴장,
14,시안,안녕하세요^ 다시 왔어요!,0,1,8,시안 중앙에 등장,
15,레네,나랑 함께 말이지!,2,1,10,레네 왼쪽에 등장,
16,엔지니어,뭐야^ 네가 왜 같이 나와.,2,,,,
17,레네,대학원에서 도망쳐나왔다가 레파이아 방향으로 걸어가는 작가님을 봤지.,,,,조세핀 오른쪽에 등장,
18,레네,얼마 전에 받은 사인지로 금방 친해졌고!,1,,,,
19,조세핀,유명인이랑 친구하기' 버킷리스트를 이뤘군요. 축하해요^ 레네.,2,,,,
20,엔지니어,세상 참 좁네.,0,,,,
21,엔지니어,작가님^ 오늘은 무슨 일로 오셨나요?,,,,,
22,시안,작업 속도를 높이고 싶어서요.,,,,,
23,조세핀,오늘따라 작업 효율을 높이는 요청이 많네요.,1,,,,
24,레네,또 누가 이런 부탁을 했었어?,1,,,,
25,엔지니어,저기 케인 헬스클럽의 실베스터가.,1,,,,
26,레네,안 그래도 오면서 봤어. 가다가 넘어지던데^ 나중에 다시 수리받으러 올 수도 있겠더라.,,,,,
27,엔지니어,시안님^ 장비 교체를 원하시나요?,2,,,,
28,시안,네^ 손목 부품이 조금 옛날 거라^ 새로 바꾸고 싶어요.,,,,수리 힌트 1 - 파츠 교체,
29,시안,그리고 지난번에 바꿨던 눈 부품에 아직 적응을 못해서^ 계속 데이터가 밀려서 들어오는 느낌이에요.,1,,,수리 힌트 2 - 최적화,
30,엔지니어,알겠습니다. 정비소로 들어와주세요.,0,,,"수리 항목은 파츠 교체, 최적화",
31,안내,정비소 탭을 눌러 이동해주세요.,,2,8,,
