ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,엔지니어,찾아봤는데 그 부품은 가게에 재고가 없네. 단종된 부품이라 찾기도 힘들고.,,1,5,,엔지니어(주인공)
2,브루스,자기 모델의 부품이 단종되면 유지보수가 어려워지죠.,,,,,조세핀(조수)
3,조세핀,찾아보니 재고가 단 하나 있는데^ 지금 시키면 오늘 저녁 쯤에 도착할 수 있답니다.,1,,,,레네(당근패드 든 여자)
4,엔지니어,그럼 바로 시켜줘. 브루스^ 이따 저녁쯤에 연락 줄게. 그때 다시 와 줄 수 있어?,0,,,,브루스(소방관)
5,브루스,알겠습니다. 오기 전에 미리 연락하고 올 걸 그랬네요.,,,,,
6,브루스,저는 이만 근무하러 돌아가보겠습니다.,0,,,,
7,브루스,가는 길에 아이스크림이나 몇개 사가야겠어요.,0,3,5,브루스 퇴장,
8,엔지니어,또 찾아줘.,0,,,,
9,조세핀,안녕히 가세요.,,,,조세핀 퇴장,
10,엔지니어,하필 그 부품이 재고가 다 떨어질 줄이야.,0,,,조세핀 중앙에서 등장,
11,조세핀,브루스 씨는 항상 그 부품을 써왔으니까요. 재고가 없는 게 당연하죠.,,,,,
12,엔지니어,부품이 오기 전에 밥이라도 먹고 오자...,1,,,,
13,[시스템 메시지],DAY 4 종료,,4,0,,
