ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
1,[안드로이드 수리점 '레파이아'],재개업 3일차,,,,엔지니어(주인공)
2,엔지니어,매일 느끼는 거지만 출근은 정말 하기 싫단 말이지...,,,,조세핀(조수)
3,조세핀,...그런 사람이 가게 로비에다가 '닌자넨도 트위치'를 갖다 놓나요?,2,,조세핀 중앙에 등장,시안(만화가 로봇)
4,조세핀,손님이 없을 때는 꺼내서 '식물의 숲'만 하시면서.,2,,,마르코(콧수염 경찰)
5,엔지니어,나한테 트위치는 인공호흡기나 마찬가지라고!,,,,카이바(경찰 로봇)
6,엔지니어,트위치가 있기 때문에 이 지루한 나날을 버틸 수 있는 거야.,,,시안0평소1정면2웃음,
7,엔지니어,손님이 안 올때는 좀 놀고 있어도 되잖아?,,,,
8,조세핀,곧 놀 시간이 줄어들 것 같은데요? 저기 손님이 오시잖아요.,1,,,
9,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,0,,조세핀 퇴장,
10,???,아^ 안녕하세요.,0,,시안 중앙에 등장,
11,엔지니어,(...어디서 본 거 같은 모습인데..?),,,,
12,엔지니어,안녕하세요.,,,,
13,엔지니어,모델명과 성함을 알려주시겠습니까?,,,,
14,시안,모델명 M1-LE^ 시안입니다.,1,,,
15,엔지니어,(누구였지? 내가 아는 안드로이드인가?),,,,
16,엔지니어,무슨 일로 오셨나요?,,,,
17,시안,눈이 이상해요.,1,,,
18,조세핀,눈이 어떻게 이상하신건가요?,0,,조세핀 왼쪽에 등장,
19,시안,색이 이상하게 보여요. 파란색은 빨간색으로 보이고^ 빨간색은 초록색으로^ 초록색은 파란색으로 보여요.,1,,,
20,엔지니어,RGB값이 하나씩 밀려있네요?,,,,
21,엔지니어,최근에 눈 쪽에 물리적인 영향이 갈만한 일이 있었나요?,,,,
22,시안,아뇨^ 어디 부딪히거나 그런 일은 없었어요.,0,,수리 힌트 1. 하드웨어 손상은 아님,
23,시안,그저께 만화에 필요한 플러그인들을 다운로드받은 이후로 계속 이러네요.,0,,,
24,엔지니어,만화요?,,,,
25,시안,네^ 저는 '로보브레인과 스피커헤드'라는 만화를 그리고 있습니다.,2,,,
26,엔지니어,어^그 만화는...,,,,
27,조세핀,로보브레인과 스피커헤드라면... 레네가 좋아하는 만화 아닌가요?,1,,,
28,엔지니어,"혹시 만화작가 ""시안.M""이신가요?",,,,
29,시안,네^ 맞아요! 어떻게 아셨죠?,2,,,
30,엔지니어,제 친구가 로보브레인과 스피커헤드는 단행본^ e북^ 캐릭터 설정화까지 모을 정도로 광팬이에요. 여기서 뵙다니 그 친구가 배 좀 아파하겠는데요.,,,,
31,엔지니어,아무튼^ 그 증상은 플러그인을 설치한 이후부터 그렇다고 하셨죠?,,,,
32,시안,네^ 색감 관련 플러그인인데^ 문제가 생긴 이후로 설치했던 모든 플러그인을 전부 삭제했는데도 이러네요..,1,,,
33,조세핀,혹시 그 플러그인 이름이 뭔가요?,0,,,
34,시안,"""읒증의 RPX 그래픽 부스터""요. ",0,,,
35,조세핀,...사장님.,2,,,
36,엔지니어,그래...,,,,
37,엔지니어,시안님^ 정비실로 들어오세요.,,,수리 내용은 '버그'. 수리 힌트는 2일차 초반에 있었음.,
